PRODIGIT;PRODIGIT;info@prodigit.fr;0546059261;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;NULL;83. Boulevard Champlain;83. Boulevard Champlain;17200;ROYAN;FRA;;0.000000
RESEAUXETVALORISA;IP NORM;p.motin@reseaux-valorisations.fr;0231944759;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;2022-04-29 00:00:00.000;6 Route de Troarn;6 Route de Troarn;14810;GONNEVILLE EN AUGE;FRA;;0.000000
SMDSYSTEMS;SMD SYSTEMS;ff@smd-systems.com;0545327878;2012-09-26 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;2017-02-02 00:00:00.000;Avenue Jean Monnet;Avenue Jean Monnet;16370;CHERVES RICHEMONT;FRA;FRANCE;0.000000
CARGO1;LE CARGO;contact@lecargo.fr;0231867931;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;41350648600039;FR50413506486;2018-12-07 00:00:00.000;Assocation ARTSATTACK!;Assocation ARTSATTACK!;14000;CAEN;FRA;;0.000000
CDPRO;CD PRO;ventes@cdpro.fr;0160776533;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;NULL;4, avenue Ambroise Croizat;4, avenue Ambroise Croizat;91130;RIS ORANGIS;FRA;;0.000000
CITROEN;CITROEN;citroen.caen@wanadoo.fr;0231434400;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;34890152100222;NULL;2014-11-21 00:00:00.000;6 Avenue Général Harris;6 Avenue Général Harris;14050;CAEN CEDEX 4;FRA;;0.000000
CRIS;CRIS;mbertagna@cris-reseaux.com;02.40.32.16.90;2014-02-12 00:00:00.000;2020-10-04 13:32:03.000;40326617400057;NULL;2023-06-30 00:00:00.000;3 Rue Jules Vernes;3 Rue Jules Vernes;44405;REZE CEDEX;FRA;FRANCE;0.000000
DESK1;DESK;desk.caen@desk-normandie.fr;0231472727;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;45004107400011;FR22450041074;NULL;12 RUE D'ATALANTE;12 RUE D'ATALANTE;14200;HEROUVILLE SAINT CLAIR;FRA;FRANCE;0.000000
EMAGING;EMAGING;"yannick_chaumont@emaging.fr ";0164171860;2018-04-06 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;2020-12-04 00:00:00.000;16 Rue des quilles;16 Rue des quilles;77700;CHESSY;FRA;FRANCE;0.000000
EVIGROUP;EVIGROUP;contact@evi-group.com;;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;NULL;88 rue Charles III;88 rue Charles III;54000;NANCY;FRA;;0.000000
EXERDATACOM;EXER DATACOM;info@exer.fr;0320619676;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;2012-12-19 00:00:00.000;EuraTechnologies - Bâtiment Cube;EuraTechnologies - Bâtiment Cube;59160;LILLE - LOMME;FRA;;0.000000
EXTENSO;EXTENSO TELECOM;hhadj@extenso-telecom.com;0478665859;2015-04-22 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;2016-10-21 00:00:00.000;1 Chemin du plateau;1 Chemin du plateau;69570;DARDILLY CEDEX;FRA;FRANCE;0.000000
GRITSCHSOFT;GRITSCH-SOFT;gabriel@gritsch-soft.com;;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;NULL;;;;;FRA;;0.000000
HL2D;IntegraSys;stephanie.louachi@integrasys.fr;0387847500;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;2018-12-17 00:00:00.000;Technopole Forbach Sud;Technopole Forbach Sud;57600;FORBACH;FRA;;0.000000
HOTELDANGLETERRE;HOTEL D'ANGLETERRE ETOILE;contact@hotelangleterre-etoile.com;0147278067;2012-10-12 00:00:00.000;2020-10-04 13:32:03.000;NULL;FR55350079869;NULL;21 Rue Copernic;21 Rue Copernic;75016;PARIS;FRA;FRANCE;0.000000
HOTELMERCURE;HOTEL MERCURE;h5712@accor.com;0231440505;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;NULL;Caen Côte de Nacre;Caen Côte de Nacre;14200;HEROUVILLE SAINT CLAIR;FRA;;0.000000
IMT;IMT;infoventes@imt-sa.com;0134343777;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;NULL;FR89391851540;NULL;53, Rue de casimir Périer;53, Rue de casimir Périer;95871;"BEZONS CEDEX ";FRA;;0.000000
COMPUWAVE;COMPUWAVE;frederic.vartanian@compuwave.de;;2018-06-15 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;2018-07-17 00:00:00.000;Franklinstr. 11;Franklinstr. 11;10587;BERLIN;DEU;ALLEMAGNE;0.000000
HOLIDAYINNLONDRES;HOLIDAY INN LONDON;Groups@hilondonkensington.com;44020736844021;2018-08-07 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;NULL;Kensington High Street;Kensington High Street;W8 5SP;LONDON;GBR;ROYAUME UNI;0.000000
JARLTECH;JARLTECH Europe;pos@jarltech.fr;0800527583;2012-06-18 00:00:00.000;2020-12-11 15:39:54.000;NULL;NULL;2023-05-02 00:00:00.000;Raiffeisenstrasse 5-7;Raiffeisenstrasse 5-7;61250;USINGEN;DEU;ALLEMAGNE;0.000000
ADCSOFT;ADC-SOFT;commercial@adc-soft.com;0147805883;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;NULL;39, rue du 22 Septembre;39, rue du 22 Septembre;92400;COURBEVOIE;FRA;;0.000000
AEC;Cabinet AEC;jacky@aec-ri.com;0231727354;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;2023-04-18 00:00:00.000;15 Route de Colombelles;15 Route de Colombelles;14540;SOLIERS;FRA;;0.000000
BARTELEC;BART'ELEC CALVADOS;benoit.leboulanger@orange.fr;0231751734;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;50940630200018;FR20509406302;2023-02-13 00:00:00.000;33, Le Manoir;33, Le Manoir;14370;CLEVILLE;FRA;;0.000000
BDLEASE;BD LEASE OUEST;bdlease.ouest@bdlease.fr;0247711818;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;NULL;32, Quai Carnot;32, Quai Carnot;37552;SAINT AVERTIN;FRA;;0.000000
IBISDIDEROT;IBIS PARIS GARE DE LYON DIDEROT;h3211-sb@accor.com;0143461272;2019-02-22 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;NULL;31 Bis, Boulevard Diderot;31 Bis, Boulevard Diderot;75012;PARIS FRANCE;FRA;FRANCE;0.000000
ARTIM;ARTIM IT IMPROVEMENT;"fx@groupearm.fr ; commande@arhtim.com";;2019-08-12 00:00:00.000;2022-05-24 14:40:34.000;NULL;NULL;2022-06-01 00:00:00.000;33 Rue Lavoisier;33 Rue Lavoisier;95220;HERBLAY;FRA;FRANCE;0.000000
EUROCOMPOSANT;EUROCOMPOSANT;fdenant@eurocomposant.fr;;2020-03-11 16:58:42.000;2020-10-04 13:32:03.000;NULL;NULL;2022-09-19 00:00:00.000;1 Rue René DENANT;1 Rue René DENANT;78960;VOISINS-LE-BRETONNEUX;FRA;FRANCE;0.000000
SENSYLSAS;SAS SENSYL;client@sensyl.fr;(0)4.65.02.00.57;2021-09-21 11:22:54.000;2022-01-27 16:01:32.000;NULL;NULL;2023-05-26 00:00:00.000;"Parc d'activités de Belle Croix ";"Parc d'activités de Belle Croix ";84210;VENASQUE;FRA;FRANCE;0.000000
QUALITIACERTIFICA;QUALITIA CERTIFICATION;contact@qualitia-certification.fr;0613015693;2021-09-23 15:43:45.000;2023-06-08 11:30:24.000;85195596300018;fr60851955963;2021-09-23 00:00:00.000;La Fergogne;La Fergogne;81500;BELCASTEL;FRA;FRANCE;0.000000
FASESONORISATION;FASE SONORISATION;s.fase@wanadoo.fr;0481683009;2022-04-11 13:53:55.000;2022-04-11 13:54:03.000;NULL;NULL;2022-04-11 00:00:00.000;1000 Avenue Jean PERRIN;1000 Avenue Jean PERRIN;13851;AIX LES MILLES;FRA;FRANCE;0.000000
CALBRYSEBASTIEN;CALBRY Sébastien;sebastien.calbry@hotmail.com;0687574034;2022-11-21 10:14:52.000;2022-11-21 10:15:32.000;53195927800031;NULL;NULL;31 Rue des Mésanges;31 Rue des Mésanges;14260;AUNAY SUR ODON;FRA;FRANCE;0.000000
STUDIOBASE2;STUDIO BASE 2;pesah@studiobase2.com;0153010505;2023-02-17 14:40:58.000;2023-05-17 15:54:40.000;33472047100062;FR62334720471;2023-06-20 00:00:00.000;58 Rue Saint Lazare;58 Rue Saint Lazare;75009;PARIS;FRA;FRANCE;0.000000
ELGGROUP;ELG GROUP;informations@elg-group.fr;02.41.71.81.92;2023-06-22 10:46:33.000;2023-06-22 10:46:36.000;84513966600026;FR30845139666;2023-06-22 00:00:00.000;34 RUE DE LA HOLLANDE;34 RUE DE LA HOLLANDE;49300;Cholet;FRA;FRANCE;0.000000
MARIAGESEBASTIEN;MARIAGE Sebastien;sebastienmariage@orange.fr;0618442565;2018-10-13 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;NULL;4 Av roger dumont;4 Av roger dumont;76280;St jouin bruneval;FRA;FRANCE;0.000000
MDSYS;MDSYS;remi.darnay@mdsys.fr;01.64.53.24.50;2015-11-13 00:00:00.000;2020-10-04 13:32:03.000;42238325700017;FR80422383257;2015-12-28 00:00:00.000;2 Allée des Garays;2 Allée des Garays;91872;PALAISEAU CEDEX;FRA;FRANCE;0.000000
MODELABS;MODELABS;soizic.courant@modelabs.com;0685827247;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;NULL;11 bis rue Roquépine;11 bis rue Roquépine;75008;PARIS;FRA;;0.000000
OLNEWTHINGS;OL NEWTHINGS;o.letscher@olnewthings.fr;0646820671;2013-05-22 00:00:00.000;2020-10-04 13:32:03.000;75353508700013;NULL;2015-09-28 00:00:00.000;885, Avenue du Dr Lefebvre;885, Avenue du Dr Lefebvre;06270;VILLENEUVE-LOUBET;FRA;FRANCE;0.000000
PUMACOM;PUMACOM;pumacom@wanadoo.fr;0491471748;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;NULL;78 rue Perrin Solliers;78 rue Perrin Solliers;13006;MARSEILLE;FRA;;0.000000
QUADRIA;QUADRIA;e.hubert@quadria.fr;0231464162;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;NULL;Réseau Euralliance's;Réseau Euralliance's;14053;CAEN;FRA;;0.000000
RIDELTHOMAS;RIDEL THOMAS;thiebaut.anais@gmail.com;0608870289;2018-11-23 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;NULL;30 CHEMIN DE BEAUCAMP;30 CHEMIN DE BEAUCAMP;76570;PAVILLY;FRA;FRANCE;0.000000
SOFTEUROPE;SOFT EUROPE;info@softeurope.com;0825880870;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;NULL;17, Rue du Chemin de Fer;17, Rue du Chemin de Fer;93698;PANTIN CEDEX;FRA;;0.000000
STOPTRACK;OXYGEN;s.kramers@stoptrack.com;01.49.24.93.04;2015-11-18 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;2016-12-05 00:00:00.000;7 Rue Pasquier;7 Rue Pasquier;75008;PARIS;FRA;FRANCE;0.000000
TASQ;TASQ;caen.agence@tasq.fr;0231292730;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;NULL;ZAC le clos Barbey;ZAC le clos Barbey;14280;SAINT CONTEST;FRA;;0.000000
CADLANTIQUE;CADLANTIQUE;cadlantique@gmail.com;0297578738;2017-11-20 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;2019-05-27 00:00:00.000;18 Rue Jean Jaurès;18 Rue Jean Jaurès;56400;LE BONO;FRA;FRANCE;0.000000
CDAS501;CDAS 50;cdas.manche@wanadoo.fr;0233572226;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;2014-08-25 00:00:00.000;706 Rue Louise Michel;706 Rue Louise Michel;50000;SAINT LO;FRA;;0.000000
CGED;CGED;caen@cged.fr;0231462710;2012-06-18 00:00:00.000;2023-02-21 14:51:59.000;NULL;NULL;2017-12-31 00:00:00.000;Citis - 144 rue Marie Curie;Citis - 144 rue Marie Curie;14203;HEROUVILLE ST CLAIR;FRA;;0.000000
COMPUTERLINKS;COMPUTERLINKS;ouest-fr@computerlinks.fr;0149975000;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;2014-09-11 00:00:00.000;Tour Pentagone Plaza - 9éme étage;Tour Pentagone Plaza - 9éme étage;92140;CLAMART;FRA;;0.000000
DENTALVIA;DENTALVIA SA;commercial@macdent.fr;0147817788;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;44209279700020;NULL;2014-09-18 00:00:00.000;57 Rue Saint denis;57 Rue Saint denis;92700;COLOMBES;FRA;;0.000000
DIAGONAL;DIAGONAL;diagonal@prolexis.com;0492383810;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;2018-01-25 00:00:00.000;Arep CENTER;Arep CENTER;06560;VALBONNE SOPHIA ANTIPOLIS;FRA;;0.000000
ECP;EUROP' COMPUTER PERFORMANCE;ludovic@europ-computer.com;0149989898;2013-05-23 00:00:00.000;2020-10-04 13:32:03.000;40222509800027;FR59402225098;2016-01-07 00:00:00.000;ZAC Cerisaie;ZAC Cerisaie;93240;STAINS;FRA;FRANCE;0.000000
EUROMEDIATECHOLOG;EUROMEDIA TECHNOLOGIES;info@euromedia-technologies.com;0149212000;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;48091830900026;NULL;NULL;155-159, rue du Dr Bauer;155-159, rue du Dr Bauer;93400;SAINT OUEN;FRA;;0.000000
GMH2I;GMH2I;sylvie.bellay@gmhci.com;0139765546;2016-06-15 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;2016-07-08 00:00:00.000;PARC LES GRILLONS;PARC LES GRILLONS;78230;LE PECQ;FRA;FRANCE;0.000000
APPLESAV;APPLE SALES INTERNATIONAL;sav@actimac.fr;0156529600;2012-06-18 00:00:00.000;2020-11-21 16:11:08.000;NULL;NULL;2023-06-30 00:00:00.000;HOLLYHILL INDUSTRIAL ESTATE;HOLLYHILL INDUSTRIAL ESTATE;;CORK;IRL;IRLAND;22000.000000
FOLEX;FOLEX;ute.trabandt@folex.de;0139446200;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;2015-05-22 00:00:00.000;Folex GmbH;Folex GmbH;D 50767;KÖLN;DEU;ALLEMAGNE;0.000000
ZULUDESK;ZULUDESK BV;guillaume.pereira@jamf.com;;2018-04-25 00:00:00.000;2023-05-30 15:22:44.000;NULL;NULL;2023-06-30 00:00:00.000;Hoenderkamp 23;Hoenderkamp 23;7812 VZ;EMMEN;NLD;PAYS-BAS;0.000000
ABVENT;ABVENT SA;gestion-fr@graphisoft.com;0153010505;2012-06-18 00:00:00.000;2023-06-09 15:03:06.000;NULL;FR62334720471;2023-06-30 00:00:00.000;"58 rue Saint Lazare ";"58 rue Saint Lazare ";75009;PARIS;FRA;FRANCE;0.000000
ACEGI;ACEGI;contact@acegi.fr;0231844578;2012-06-18 00:00:00.000;2021-01-11 09:47:01.000;NULL;NULL;2023-06-19 00:00:00.000;2 Rue Jean Perrin;2 Rue Jean Perrin;14460;COLOMBELLES;FRA;FRANCE;0.000000
ALACARTE;A LA CARTE EVENTS;caroline@alacarteevents.fr;0468601277;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;NULL;fr01500418408;NULL;Chemin de la Maladrerie;Chemin de la Maladrerie;14340;BONNEBOSQ;FRA;;0.000000
ALIDADE1;ALIDADE;info@alidade.fr;0233640228;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;NULL;1 boulevard du midi;1 boulevard du midi;61800;TINCHEBRAY;FRA;;0.000000
BLUERIVERSYSTEM;BLUE RIVER SYSTEM;christelle@brsystem.com;0820480487;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;NULL;132, avenue de Lombez;132, avenue de Lombez;31025;TOULOUSE Cedex 3;FRA;;15000.000000
BORLAND;"BORLAND FRANCE ";fabrice.oulouna@borland.com;0155235500;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;NULL;La défense 8;La défense 8;92042;PARIS LA DEFENSE;FRA;;0.000000
TESTOON;TESTOON;isabelle.moussier@testoon.com;0171161700;2017-07-03 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;2017-07-12 00:00:00.000;99 Rue Béranger;99 Rue Béranger;92320;CHATILLON;FRA;FRANCE;0.000000
DROVALARCHITECTE;LOIC DROVAL ARCHITECTE;ldroval@agence-am.com;;2019-03-18 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;2019-02-28 00:00:00.000;17 Rue du port;17 Rue du port;27400;LOUVIERS;FRA;FRANCE;0.000000
AFS1;Automatic Fermeture Système;afs.lehavre@free.fr;0235228836;2019-11-20 00:00:00.000;2020-10-04 13:32:03.000;40141981700036;FR01401419817;NULL;39 Bis Chemin du Four à Chaux;39 Bis Chemin du Four à Chaux;76930;OCTEVILLE SUR MER;FRA;FRANCE;0.000000
SPEECHI;SPEECHI;baptiste.sellier@speechi.net;;2021-03-03 16:13:34.000;2022-05-31 11:13:25.000;NULL;NULL;2022-09-08 00:00:00.000;12 rue de Weppes;12 rue de Weppes;59800;LILLE;FRA;FRANCE;0.000000
GRAPHICRESEAU;GRAPHIC RESEAU;valerie.dauphin@graphic-reseau.com;0164851106;2021-12-17 15:14:00.000;2021-12-17 15:23:37.000;37946053800059;FR05379460538;2021-12-21 00:00:00.000;"6 Rue Bernard Palissy ";"6 Rue Bernard Palissy ";91070;BONDOUFFLE;FRA;FRANCE;0.000000
EURECIA;EURECIA;margo.coopman@eurecia.com;0562204937;2022-01-11 17:22:09.000;2022-01-11 17:22:09.000;NULL;FR88487820268;NULL;3 Chemin des Canelles;3 Chemin des Canelles;31320;CASTANET TOLOSAN;FRA;FRANCE;0.000000
LDLCGROUPE;GROUPE LDLC;solutions@ldlc.pro;0626823480;2023-04-14 15:11:27.000;2023-05-12 11:13:17.000;NULL;NULL;2023-06-26 00:00:00.000;150 Allée des Frènes;150 Allée des Frènes;69760;Limonest;FRA;FRANCE;0.000000
LOGICMAX;LOGIC-MAX;infos@logicmax.com;0890711702;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;40288901800014;NULL;NULL;2 Boulevard de Launay;2 Boulevard de Launay;44186;NANTES CEDEX 4;FRA;;0.000000
MAGENCY;MAGENCY SARL;maria@magency.fr;;2014-09-17 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;2014-09-11 00:00:00.000;34 Rue des Bourdonnais;34 Rue des Bourdonnais;75001;PARIS;FRA;FRANCE;0.000000
NORMANDIEPUBLICIT;NORMANDIE PUBLICITE;normandie.pub@presse-normande.com;0232083720;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;NULL;FR12620500173;NULL;33 Rue des Grosses Pierres;33 Rue des Grosses Pierres;76250;DEVILLE LES ROUEN;FRA;;0.000000
OREILLY;O'REILLY EDITIONS;jasmina@oreilly.com;0140515230;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;NULL;18, Rue Séguier;18, Rue Séguier;75006;PARIS;FRA;;0.000000
PROPULSION;PROPULSION;jp.rose@propulsion3000.com;0233885300;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;NULL;FR84477571764;NULL;1 Rue de Strasbourg;1 Rue de Strasbourg;50100;CHERBOURG CEDEX;FRA;;0.000000
RITMEINFORMATIQUE;RITME Informatique;info@ritme.com;0142460042;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;NULL;34, Bvd Haussmann;34, Bvd Haussmann;75009;PARIS;FRA;;0.000000
SARLSOCOIF;Sarl Socoif;gatsteph@gmail.com;0235771117;2014-09-23 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;NULL;"121 grande rue ";"121 grande rue ";27520;Bourgtheroulde;FRA;FRANCE;0.000000
SAVITELE;SAVITELE;savitele@wanadoo.fr;0235757193;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;48770776200018;NULL;NULL;Parc d'activités du Moulin à poudre;Parc d'activités du Moulin à poudre;76152;MAROMME CEDEX;FRA;;0.000000
SELECTIONPHOTO;SELECTION PHOTO VIDEO;conseil@selection-photo.com;0145222436;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;NULL;4 rue de Laborde;4 rue de Laborde;75008;PARIS;FRA;;0.000000
SNEPAAPICRYPT;SNEPA APICRYPT;info@snepa.com;0328630065;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;43975235300029;NULL;NULL;26, rue Jules Lanery;26, rue Jules Lanery;59240;DUNKERQUE;FRA;;0.000000
BUSQUET;BUSQUET AUDIOVISUEL;busquet-audiovisuel@wanadoo.fr;0231738822;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;NULL;Z.A. de l'intendance;Z.A. de l'intendance;14930;ETERVILLE;FRA;;0.000000
