 ID;Domaine;Type de pi�ce;Type de stock;N¡ de pi�ce;Date;Code article;LibellŽ article;Code dŽp™t;QuantitŽ US;N¡ de sŽrie;PA;Code client;LibellŽ client
35874;Achats;Bon de rŽception;En stock;BR-200013;28/05/2020;APP-3G356F/A;iPhone SE 64GB Black (Demo);DCOM;1;SFFWCH69QPLJQ;407,54;;
35875;Achats;Bon de rŽception;En stock;BR-200013;28/05/2020;APP-3G358F/A;iPhone SE 64GB (PRODUCT)RED (Demo);DCOM;1;SFFMCFM13PLJT;407,54;;
35757;Achats;Bon de rŽception;En stock;BR-200005;22/05/2020;APP-3G931NF/A;11-inch iPad Pro Wi-Fi 128GB - Space Grey (Demo);DCOM;1;SDMPCD2N9PTRF;588;;
35758;Achats;Bon de rŽception;En stock;BR-200005;22/05/2020;APP-3G933NF/A;12.9-inch iPad Pro Wi-Fi 128GB - Space Grey (Demo);DCOM;1;SDMPCC7WJPV03;735;;
38136;Achats;Bon de rŽception;En stock;BR-200126;17/09/2020;APP-3H134F/A;Apple Watch SE GPS, 40mm Gold Aluminium Case Only (Demo);COM;1;SG99D92H1Q07T;166,66;;
39103;Achats;Bon de rŽception;En stock;BR-200168;27/10/2020;APP-3H183NF/A;10.9-inch iPadÊAir Wi-Fi 64GB - Silver (Demo);DCOM;1;SDMPDG1LMQ16N;436,4;;
38928;Achats;Bon de rŽception;En stock;BR-200160;21/10/2020;APP-3H185NF/A;10.9-inch iPadÊAir Wi-Fi 64GB - Sky Blue (Demo);DCOM;1;SDMPDH21ZQ16Q;436,4;;
38135;Achats;Bon de rŽception;En stock;BR-200126;17/09/2020;APP-3H250F/A;Apple Watch Nike SE GPS + Cellular, 40mm Space Gray Aluminium Case Only (Demo);COM;1;SG99D61GQQ1NJ;200;;
38134;Achats;Bon de rŽception;En stock;BR-200126;17/09/2020;APP-3H260F/A;Apple Watch Series 6 GPS, 44mm Silver Aluminium Case Only (Demo);COM;1;SH4HD932QQ1RN;273,34;;
38133;Achats;Bon de rŽception;En stock;BR-200126;17/09/2020;APP-3H321F/A;Apple Watch Series 6 GPS + Cellular, 44mm Blue Aluminium Case Only (Demo);COM;1;SH4HD91WMQ1XR;340;;
39592;Achats;Bon de rŽception;En stock;BR-200195;14/11/2020;APP-3H441F/A;iPhone 12 Pro Max 128GB Graphite (Demo);COM;1;SF2LDL75W0D4Y;768,68;;
39593;Achats;Bon de rŽception;En stock;BR-200195;14/11/2020;APP-3H444F/A;iPhone 12 Pro Max 128GB Pacific Blue (Demo);COM;1;SF2LDL2ZK0D52;768,68;;
39590;Achats;Bon de rŽception;En stock;BR-200195;14/11/2020;APP-3H480F/A;iPhone 12 mini 64GB Black (Demo);COM;1;SF4GDJGS00GPP;494,76;;
39591;Achats;Bon de rŽception;En stock;BR-200195;14/11/2020;APP-3H481F/A;iPhone 12 mini 64GB White (Demo);COM;1;SC7CDH1WA0GPQ;494,76;;
39030;Achats;Bon de rŽception;En stock;BR-200164;23/10/2020;APP-3H522F/A;iPhone 12 64GB (PRODUCT)RED (Demo);COM;1;SFFMDH5FL0F0R;555,51;;
39031;Achats;Bon de rŽception;En stock;BR-200164;23/10/2020;APP-3H523F/A;iPhone 12 64GB Blue (Demo);COM;1;SFFMDD63A0F0V;555,51;;
39032;Achats;Bon de rŽception;En stock;BR-200164;23/10/2020;APP-3H555F/A;iPhone 12 Pro 128GB Gold (Demo);COM;1;SF17DJ7760D90;707,91;;
38131;Achats;Bon de rŽception;En stock;BR-200125;17/09/2020;APP-3YL92NF/A;10.2-inch iPad Wi-Fi 32GB - Space Grey (Demo);DCOM;1;SDMQDC0ABQ1GC;251,34;;
556;Stocks;EntrŽe en stock;En stock;IN-150172;31/12/2015;APP-MC344Z/A;Time Capsule 2To;DCOM;1;S6F038024AQP;304,65;;
554;Stocks;EntrŽe en stock;En stock;IN-150172;31/12/2015;APP-MC414Z/A;Borne dÕacc�s Airport Express;DCOM;1;SC86LNAY1DV2R;72,3;;
1533;Stocks;EntrŽe en stock;En stock;IN-160002;31/12/2015;APP-MC414Z/A;Borne dÕacc�s Airport Express;COM;1;APP-MC414Z/A***001;72,3;;
714;Stocks;EntrŽe en stock;En stock;IN-150173;31/12/2015;APP-MC721F/A;MacBook Pro 15;COM;1;MC721MANQUANT;1169,89;;
13507;Stocks;Transfert;En stock;VDCOM-170003;06/05/2017;APP-MC914ZM/A;Apple Thunderbolt Display 27;IMMOCOM;1;SC02GT48EDJGR;762,78;;
553;Stocks;EntrŽe en stock;En stock;IN-150172;31/12/2015;APP-MD031Z/A;Borne AirPort Extreme;DCOM;1;SC86GC25FDM72;99,04;;
13065;Stocks;EntrŽe en stock;En stock;IN-170004;24/04/2017;APP-MD387F/A;Mac Mini bicoeur Core i5 2,5Ghz/4G/500G/HD Graphics 4000 DŽmo;DCOM;1;SC07LR55FDWYL;448,22;;
716;Stocks;EntrŽe en stock;En stock;IN-150173;31/12/2015;APP-MD481ZD/A;iPod nano Slate;COM;1;MD481MANQUANT;128,53;;
543;Stocks;EntrŽe en stock;En stock;IN-150172;31/12/2015;APP-ME253F/A;Mac Pro Quad-core Xeon E5 3,7Ghz /12Gb/256Gb/Dual FirePro D300 2Gb;DCOM;1;SF5KLX032F9VM;2094,33;;
538;Stocks;EntrŽe en stock;En stock;IN-150172;31/12/2015;APP-ME276NF/A;iPad Mini Ecran Retina Wifi 16Go Gris sidŽral;DCOM;1;SF4KM843MFCM5;230,87;;
491;Stocks;EntrŽe en stock;En stock;IN-150171;31/12/2015;APP-ME279NF/A;iPad mini Žcran Retina Wifi 16Go Argent;DEPCOM;1;SDQTM3VWPFCM8;230,87;;
7786;Achats;Bon de rŽception;En stock;BR-160264;18/11/2016;APP-ME780NF/A;iPad mini 2 Wi-Fi 16 Go - Noir DEMO;COM;1;SDLXLKCYLFCM5;268,4;;
539;Stocks;EntrŽe en stock;En stock;IN-150172;31/12/2015;APP-ME913NF/A;iPad Air Wi-Fi Retina 16Go Silver (DŽmo);DCOM;1;SDMQLKCM8FK14;284,35;;
19161;Achats;Bon de rŽception;En stock;BR-170326;12/12/2017;APP-ME918Z/A;AirPort Extreme 802.11ac;COM;1;SC86V83L8FJ1R;137,96;;
41378;Achats;Bon de rŽception;En stock;BR-200260;31/12/2020;APP-MG123NF/A;Apple Watch Series 6 GPS, 40mm Gold Aluminium Case with Pink Sand Sport Band - R;COM;1;SH4HDLYBTQ1RG;329;;
39508;Achats;Bon de rŽception;En stock;BR-200191;12/11/2020;APP-MGDX3F/A;iPhone 12 mini 64GB Black;COM;1;SF4HDKJP40GPP;627,86;;
39544;Achats;Bon de rŽception;En stock;BR-200194;13/11/2020;APP-MGDX3F/A;iPhone 12 mini 64GB Black;COM;1;SF4HDKNWV0GPP;627,85;;
39545;Achats;Bon de rŽception;En stock;BR-200194;13/11/2020;APP-MGDX3F/A;iPhone 12 mini 64GB Black;COM;1;SF4HDK31S0GPP;627,85;;
40026;Achats;Bon de rŽception;En stock;BR-200213;03/12/2020;APP-MGDX3F/A;iPhone 12 mini 64GB Black;COM;1;SC6KDM32S0GPP;627,85;;
40027;Achats;Bon de rŽception;En stock;BR-200213;03/12/2020;APP-MGDX3F/A;iPhone 12 mini 64GB Black;COM;1;SC6KDME170GPP;627,85;;
40028;Achats;Bon de rŽception;En stock;BR-200213;03/12/2020;APP-MGDX3F/A;iPhone 12 mini 64GB Black;COM;1;SC6KDM6GP0GPP;627,85;;
39510;Achats;Bon de rŽception;En stock;BR-200191;12/11/2020;APP-MGDY3F/A;iPhone 12 mini 64GB White;COM;1;SF4GDM26Y0GPQ;627,86;;
39547;Achats;Bon de rŽception;En stock;BR-200194;13/11/2020;APP-MGDY3F/A;iPhone 12 mini 64GB White;COM;1;SF4GDM0830GPQ;627,85;;
39548;Achats;Bon de rŽception;En stock;BR-200194;13/11/2020;APP-MGDY3F/A;iPhone 12 mini 64GB White;COM;1;SF4GDM0BM0GPQ;627,85;;
39549;Achats;Bon de rŽception;En stock;BR-200194;13/11/2020;APP-MGE03F/A;iPhone 12 mini 64GB (PRODUCT)RED;COM;1;SF71DL3TQ0GPR;627,85;;
40029;Achats;Bon de rŽception;En stock;BR-200213;03/12/2020;APP-MGE13F/A;iPhone 12 mini 64GB Blue;COM;1;SC7CDN5P40GPT;627,85;;
40031;Achats;Bon de rŽception;En stock;BR-200213;03/12/2020;APP-MGE33F/A;iPhone 12 mini 128GB Black;COM;1;SF4GDPK030GPW;666,742;;
40032;Achats;Bon de rŽception;En stock;BR-200213;03/12/2020;APP-MGE33F/A;iPhone 12 mini 128GB Black;COM;1;SC6KDQ0GD0GPW;666,742;;
40034;Achats;Bon de rŽception;En stock;BR-200213;03/12/2020;APP-MGE33F/A;iPhone 12 mini 128GB Black;COM;1;SC76DP8490GPW;666,742;;
40035;Achats;Bon de rŽception;En stock;BR-200213;03/12/2020;APP-MGE33F/A;iPhone 12 mini 128GB Black;COM;1;SC76DP2A90GPW;666,742;;
39553;Achats;Bon de rŽception;En stock;BR-200194;13/11/2020;APP-MGE43F/A;iPhone 12 mini 128GB White;COM;1;SF71DL3TQ0GPX;666,74;;
40036;Achats;Bon de rŽception;En stock;BR-200213;03/12/2020;APP-MGE43F/A;iPhone 12 mini 128GB White;COM;1;SC7CDQ9HL0GPX;666,74;;
39527;Achats;Bon de rŽception;En stock;BR-200193;12/11/2020;APP-MGE53F/A;iPhone 12 mini 128GB (PRODUCT)RED;COM;1;SC7CDL4H90GPY;666,74;;
39555;Achats;Bon de rŽception;En stock;BR-200194;13/11/2020;APP-MGE53F/A;iPhone 12 mini 128GB (PRODUCT)RED;COM;1;SC7CDM1B60GPY;666,74;;
39485;Achats;Bon de rŽception;En stock;BR-200190;10/11/2020;APP-MGJ53F/A;iPhone 12 64GB Black;COM;1;SFFWDMW450F0N;705,3566667;;
38942;Achats;Bon de rŽception;En stock;BR-200162;21/10/2020;APP-MGJ63F/A;iPhone 12 64GB White;COM;1;SFFXDHDQB0F0Q;705,36;;
39489;Achats;Bon de rŽception;En stock;BR-200190;10/11/2020;APP-MGJ63F/A;iPhone 12 64GB White;COM;1;SFFXDMBY40F0Q;705,36;;
39683;Achats;Bon de rŽception;En stock;BR-200202;19/11/2020;APP-MGJ83F/A;iPhone 12 64GB Blue;COM;1;SFFMDNMGB0F0V;705,3566667;;
39307;Achats;Bon de rŽception;En stock;BR-200179;05/11/2020;APP-MGJA3F/A;iPhone 12 128GB Black;COM;1;SFFXDK0TD0F0X;744,25;;
40706;Achats;Bon de rŽception;En stock;BR-200238;17/12/2020;APP-MGJF3F/A;iPhone 12 128GB Green;COM;1;SFFXDR0HM0F12;744,4;;
41086;Achats;Bon de rŽception;En stock;BR-200251;23/12/2020;APP-MGMK3F/A;iPhone 12 Pro 128GB Graphite;COM;1;SDNPDW84D0D8X;899,2425;;
41087;Achats;Bon de rŽception;En stock;BR-200251;23/12/2020;APP-MGMK3F/A;iPhone 12 Pro 128GB Graphite;COM;1;SDNPDW7U40D8X;899,2425;;
41088;Achats;Bon de rŽception;En stock;BR-200251;23/12/2020;APP-MGMK3F/A;iPhone 12 Pro 128GB Graphite;COM;1;SDNPDW8280D8X;899,2425;;
41089;Achats;Bon de rŽception;En stock;BR-200251;23/12/2020;APP-MGMK3F/A;iPhone 12 Pro 128GB Graphite;COM;1;SDNPDW9B30D8X;899,2425;;
41255;Achats;Bon de rŽception;En stock;BR-200237;16/12/2020;APP-MGYH3ZM/A;AirPods Max - Space Gray;DCOM;1;SH0YDL3T3P3W9;387,89;;
41246;Achats;Bon de rŽception;En stock;BR-200256;29/12/2020;APP-MHDA3F/A;iPhone 11 64GB Black;COM;1;SDX3DTJ4CN735;534,86;;
40458;Achats;Bon de rŽception;En stock;BR-200229;11/12/2020;APP-MHGT3F/A;iPhoneÊSE 128GB Black;COM;1;SF17DP57VPLK2;418,8;;
41140;Achats;Bon de rŽception;En stock;BR-200255;23/12/2020;APP-MHK23FN/A;iMac 21,5 ecran Retina 4K i3 quadricoeur 3,6 GHz, 8Go, SSD256Go, 555X-2;COM;1;SC02DT2UH07F1;1063,21;;
14690;Stocks;Transfert;En stock;VDCOM-170007;22/06/2017;APP-MJVE2F/A;MacBook Air 13 bicoeur core i5 1,6Ghz/4Go/128Go flash;DEPCOM;1;SC02QG9FQG940;794,48;;
532;Stocks;EntrŽe en stock;En stock;IN-150172;31/12/2015;APP-MK452FN/A;iMac 21,5 Core i5 Quad Coeur 3.1 Ghz 4K/ 8 Go / 1To / Intel IrisPro Grap 6200;DCOM;1;SDGKQK0XCGG78;1210,48;;
533;Stocks;EntrŽe en stock;En stock;IN-150172;31/12/2015;APP-MK462FN/A;iMac 27 Core i5 Quad Coeur 3.2 Ghz 5K/ 8 Go / 1To / Radeon R9 M380 2Go;DCOM;1;SC02QF7X4GG7J;1496,35;;
4411;Achats;Bon de rŽception;En stock;BR-160137;26/07/2016;APP-MKU12ZD/A;iPhone 6s Plus 16GB Space Gray;COM;1;SFCCRX09WGRWF;659,3;;
25545;Achats;Bon de rŽception;En stock;BR-180306;26/10/2018;APP-ML8V2ZM/A;Powerbeats3 Wireless Earphones - Black;COM;1;SFV2VKN87GQ65;127,51;;
14590;Stocks;Transfert;En stock;VDCOM-170005;19/06/2017;APP-MLL42FN/A;MacBook Pro 13 Intel Core i5 bicÏur ˆ 2,0 GHz, 256 Go - Gris Sideral;DEPCOM;1;SC02SJHRJGVC1;1183,53;;
641;Stocks;EntrŽe en stock;En stock;IN-150173;31/12/2015;APP-MLNC2FD/A;Apple TV 64Gb;COM;1;SC0HQLWA4GXH8;167,27;;
643;Stocks;EntrŽe en stock;En stock;IN-150173;31/12/2015;APP-MLNC2FD/A;Apple TV 64Gb;COM;1;SC1MQL16WGXH8;167,27;;
1262;Achats;Bon de rŽception;En stock;BR-160013;29/01/2016;APP-MLNC2FD/A;Apple TV 64Gb;COM;1;SDY5QM25XGXH8;167,31;;
1263;Achats;Bon de rŽception;En stock;BR-160013;29/01/2016;APP-MLNC2FD/A;Apple TV 64Gb;COM;1;SDY5QM289GXH8;167,31;;
1264;Achats;Bon de rŽception;En stock;BR-160013;29/01/2016;APP-MLNC2FD/A;Apple TV 64Gb;COM;1;SDY5QM24ZGXH8;167,31;;
14422;Stocks;Transfert;En stock;VDCOM-170004;14/06/2017;APP-MNDY2FN/A;21.5-inch iMac with Retina 4K display: 3.0GHz quad-core Intel Core i5;DCOM;1;SC02TF1USJ1G5;1044,74;;
14420;Stocks;Transfert;En stock;VDCOM-170004;14/06/2017;APP-MNE92FN/A;27-inch iMac with Retina 5K display: 3.4GHz quad-core Intel Core i5;DCOM;1;SC02TH4Z8J1GG;1465,31;;
26724;Achats;Bon de rŽception;En stock;BR-180359;12/12/2018;APP-MNET2ZM/A;Casque BEATS Solo3 Wireless or rose;DCOM;1;SFL6WW2BJH8VJ;210,87;;
25543;Achats;Bon de rŽception;En stock;BR-180306;26/10/2018;APP-MNLV2ZM/A;BeatsX Earphones - Grey;COM;1;SFTRVF5FYHDQV;95,21;;
15715;Achats;Bon de rŽception;En stock;BR-170209;28/07/2017;APP-MNY32NF/A;iPad mini 4 Wi-Fi 32GB - Gold;DCOM;1;SDLXS7J3NHGJ3;321,57;;
10981;Achats;Bon de rŽception;En stock;BR-170036;24/01/2017;APP-MP582ZM/A;Casque BEATS Solo3 Wireless Noir;DCOM;1;SFL6STKSXHMC6;165,98;;
26725;Achats;Bon de rŽception;En stock;BR-180359;12/12/2018;APP-MP582ZM/A;Casque BEATS Solo3 Wireless Noir;DCOM;1;SFL6XC4SBHMC6;211,88;;
34971;Achats;Bon de rŽception;En stock;BR-190420;13/02/2020;APP-MP7P2FD/A;Apple TV 4K 64GB;COM;1;SC07ZXA8LHNM4;157,57;;
34972;Achats;Bon de rŽception;En stock;BR-190420;13/02/2020;APP-MP7P2FD/A;Apple TV 4K 64GB;COM;1;SC07ZXAJEHNM4;157,57;;
20134;Achats;Bon de rŽception;En stock;BR-180013;16/01/2018;APP-MQ2Y2FN/A;iMac Pro 27 5K 3GHz 8C Xeon W 32/SSD1To/RadeonPro Vega56-8;DCOM;1;SC02VT9W7HX87;3733,8;;
31001;Stocks;Transfert;En stock;VDCOM-180015;22/07/2019;APP-MQCY2ZM/A;Beats Studio3 Wireless Over-Ear Headphones - Blue;DCOM;1;SGD6Y4059J1FY;191,31;;
31817;Stocks;EntrŽe en stock;En stock;IN-190007;30/09/2019;APP-MQD02ZM/A;Beats Studio3 Wireless Over-Ear Headphones - Red;DCOM;1;SGD6Y12G3J1G0;191,31;;
16428;Achats;Bon de rŽception;En stock;BR-170240;22/09/2017;APP-MQD22FD/A;Apple TV 4K 32GB;DCOM;1;SDY3VDLC6J1WF;143,44;;
